language,country,keyword,source,search_volume,volume_type,seo_competition,advertiser_competition,cpc,conversion_from,conversion_to,search_intent,priority,serp_notes,status
id,ID,konversi csv ke json online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: tableconvert (ID title), aspose id, anytexteditor/id; rest English",unavailable,unavailable,csv,json,transactional-tool,low,Developer intent; developers also search in English.,DEFER
id,ID,json ke csv,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,n/a: all English developer tools,unavailable,unavailable,json,csv,transactional-tool,low,Searchers get English results; little localization advantage.,DEFER
id,ID,decode base64 online indonesia,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,n/a: all English developer tools,unavailable,unavailable,base64,txt,transactional-tool,low,Developer tools are searched in English.,REJECT
id,ID,convert heic ke jpg di laptop tanpa aplikasi,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,weak: 0 Indonesian pages (English how-to articles),unavailable,unavailable,heic,jpg,informational,medium,Informational gap; answered in the Indonesian HEIC->JPG page FAQ.,IMPLEMENT
vi,VN,chuyển heic sang jpg online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: iloveimg/vi, img2go, convertio + small VN sites (tienichai.com tool, hoanghamobile.com blog)",unavailable,unavailable,heic,jpg,transactional-tool,high,Pattern 'chuyển X sang Y'; small local sites rank.,IMPLEMENT
vi,VN,heic sang png,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: capcut vi, canva vi, thegioididong.com blog, convertio, softorbits, anyconv, heictopng.org/vi",unavailable,unavailable,heic,png,transactional-tool,medium,Mixed; retailer blog ranks.,IMPLEMENT
vi,VN,chuyển webp sang jpg,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: iloveimg/vi, canva vi, cellphones.com.vn blog, convertio, 11zon, anyconv",unavailable,unavailable,webp,jpg,transactional-tool,high,Retailer blog ranks for a tool query.,IMPLEMENT
vi,VN,chuyển pdf sang jpg,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: smallpdf/vi, ilovepdf/vi pdf-sang-jpg, adobe vn, pdf24/vi; also quantrimang.com and onepidesign.com",unavailable,unavailable,pdf,jpg,transactional-tool,medium,Hard SERP; cluster completeness.,IMPLEMENT
vi,VN,chuyển ảnh sang pdf online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: canva vi, adobe vn, ilovepdf/vi, pdfgear, pdf24, smallpdf",unavailable,unavailable,jpg,pdf,transactional-tool,medium,'ảnh sang pdf' (photo to PDF) is the natural phrasing; page targets both 'jpg sang pdf' and 'ảnh sang pdf'.,IMPLEMENT
vi,VN,chuyển file srt sang vtt,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak: ezyzip, veed hub, seostudio, tools.vsm.vn (VN), converter.app, 3 English pages",unavailable,unavailable,srt,vtt,transactional-tool,high,Intent poorly served in Vietnamese.,IMPLEMENT
vi,VN,chuyển vtt sang srt,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium-weak: veed vi, subtitleflow, subformer, converter.app, tinytool, Wikipedia",unavailable,unavailable,vtt,srt,transactional-tool,medium,Small tools only.,IMPLEMENT
tr,TR,heic jpg çevirme online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,weak-to-medium: 5 of 9 results English-language pages; one Turkish blog (webolizma.com); iloveimg/tr; heicjpeg.com/tr,unavailable,unavailable,heic,jpg,transactional-tool,high,Pattern 'X Y çevirme' (also 'X'i Y'ye dönüştür'). English pages ranking for a Turkish query = localization gap.,IMPLEMENT
tr,TR,heic png çevirme,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak: coolutils, pdf24/tr, onlineconvertfree/tr + 5 English pages",unavailable,unavailable,heic,png,transactional-tool,medium,Localization gap.,IMPLEMENT
tr,TR,heic pdf çevirme,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: smallpdf/tr, adobe tr, convertio, topdf, pdfcandy + 4 English pages",unavailable,unavailable,heic,pdf,transactional-tool,medium,Mixed.,IMPLEMENT
tr,TR,webp jpg çevirme,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: canva tr, pdfguru tr, convertio tr, miconv, webptojpg.com/tr, pdf24 tr, freeconvert tr, iloveimg tr",unavailable,unavailable,webp,jpg,transactional-tool,medium,Saturated; cluster completeness.,IMPLEMENT
tr,TR,pdf jpg çevirme,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: ilovepdf/tr/pdf-jpg-cevirme, smallpdf/tr, adobe tr, pdf24 tr, freepdfconvert tr",unavailable,unavailable,pdf,jpg,transactional-tool,medium,Brand slug uses exact keyword 'pdf-jpg-cevirme'.,IMPLEMENT
tr,TR,jpg pdf çevirme,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: sodapdf tr, smallpdf tr, ilovepdf tr, adobe tr, jpg2pdf, pdfcandy",unavailable,unavailable,jpg,pdf,transactional-tool,medium,Saturated; cluster completeness.,IMPLEMENT
tr,TR,srt vtt çevirme,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak: veed tr (reverse direction), 2-3 Wikipedia pages, a subtitle *translator* (intent mismatch), English pages",unavailable,unavailable,srt,vtt,transactional-tool,high,"Intent poorly served; 'çevirme' is ambiguous (convert/translate) - page states it converts format, not language.",IMPLEMENT
tr,TR,vtt srt çevirme,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak: veed tr, Wikipedia x3, English tools",unavailable,unavailable,vtt,srt,transactional-tool,high,Intent poorly served.,IMPLEMENT
tr,TR,csv json dönüştürme online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,weak: 8 of 9 English pages; only jsononline.net/tr (reverse direction),unavailable,unavailable,csv,json,transactional-tool,medium,Developer-leaning but no Turkish exact-match page observed.,IMPLEMENT
pt,BR,converter srt para vtt online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak: 9/9 English-language pages (maestra, veed, happyscribe, flexclip, subtitletools, gotranscript, ebby, tubetranscript)",unavailable,unavailable,srt,vtt,transactional-tool,high,No Portuguese page observed for a Portuguese query.,TEST
pt,BR,converter vtt para srt,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,weak: 9/9 English-language pages,unavailable,unavailable,vtt,srt,transactional-tool,high,No Portuguese page observed.,TEST
pt,BR,converter csv para json,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: site24x7/pt, aspose pt, maxai pt-PT, groupdocs pt; 5 English",unavailable,unavailable,csv,json,transactional-tool,medium,Mixed.,TEST
pt,BR,converter json para csv online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak-to-medium: aspose pt, groupdocs pt; 7 English",unavailable,unavailable,json,csv,transactional-tool,medium,Mostly English.,TEST
pt,BR,converter heic para jpg online grátis,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: iloveimg/pt, pdf24/pt, canva, adobe br, freeconvert/pt, convertio, apowersoft br",unavailable,unavailable,heic,jpg,transactional-tool,low,Saturated by localized brands.,REJECT
pt,BR,converter heic para jpg no pc,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: adobe br, iloveimg pt, Microsoft community pt, wondershare br, YouTube",unavailable,unavailable,heic,jpg,informational,low,Saturated.,REJECT
es,ES/LatAm,convertir heic a jpg online gratis,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: iloveimg/es, canva, adobe es, convertio, xodo, apowersoft es, cleverpdf, heic.digital, freeconvert",observed: the freeconvert result URL carried Google Ads click parameters (gad_source/gad_campaignid) - advertiser activity exists; no CPC/competition value observed,unavailable,heic,jpg,transactional-tool,low,Saturated.,REJECT
es,ES/LatAm,convertir srt a vtt online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak-to-medium: happyscribe (es title), captioner.io (es title), subtitlekit (es title); 6 English",unavailable,unavailable,srt,vtt,transactional-tool,medium,Similar gap to Portuguese; revisit after the pt TEST.,DEFER
es,ES/LatAm,convertir csv a json,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: aspose blog es, site24x7 es, maxai es, aconvert es, groupdocs es, utilitybro blog es",unavailable,unavailable,csv,json,transactional-tool,low,Better localized than pt.,DEFER
fr,FR,convertir heic en jpg en ligne gratuit,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: adobe fr, xodo, iloveimg/fr, coolutils, imobie fr, imgcandy, cleverpdf, convertio, heic.online/fr",unavailable,unavailable,heic,jpg,transactional-tool,low,Saturated.,REJECT
de,DE,heic in jpg umwandeln online kostenlos,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: iloveimg/de, pdf24/de, adobe de, online-umwandeln.de, online2pdf, imobie de, convertio, heic.online/de, apowersoft.de",unavailable,unavailable,heic,jpg,transactional-tool,low,Saturated incl. strong local sites.,REJECT
de,DE,srt in vtt umwandeln,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: flexclip de, kapwing (de title), veed de x2, filmora de, sonix (de title); Wikipedia",unavailable,unavailable,srt,vtt,transactional-tool,low,Partially localized.,DEFER
nl,NL,heic naar jpg omzetten online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: canva nl, adobe nl, iloveimg/nl, convertio, xodo, anyconv, freeconvert/nl, cleverpdf",unavailable,unavailable,heic,jpg,transactional-tool,low,Saturated.,REJECT
pl,PL,konwerter heic na jpg online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: visual-paradigm, canva pl, watermarkly pl, iloveimg/pl, convertio, apeaksoft pl, konwerter-online.pl, apowersoft.pl, heic.online/pl",unavailable,unavailable,heic,jpg,transactional-tool,low,Saturated.,REJECT
ms,MY,tukar heic ke jpg percuma,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: iloveimg/ms, dpdf, imagetostl, canva (Indonesian title), iloveimg/id (Indonesian page), Google Photos community (id)",unavailable,unavailable,heic,jpg,transactional-tool,medium,Indonesian pages rank for Malay -> measure the Indonesian pages in Malaysia before building Malay.,DEFER
th,TH,แปลง heic เป็น jpg ออนไลน์,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: iloveimg/th, pdf24/th, th.wps.com, canva, fotor, convertio, anyconv + 2 Chrome extensions",unavailable,unavailable,heic,jpg,transactional-tool,low,Saturated by localized brands.,REJECT
el,GR,μετατροπή heic σε jpg online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: iloveimg/el, pdf24/el, img2go, xodo, adobe gr_el, file-converter-online, avaide, anyconv, mindonmap",unavailable,unavailable,heic,jpg,transactional-tool,low,Saturated.,REJECT
ar,SA/EG/AE,تحويل heic الى jpg اون لاين,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: iloveimg/ar, canva ar, img2go ar, convertio ar, cleverpdf ar, imagestool ar",unavailable,unavailable,heic,jpg,transactional-tool,low,Saturated; RTL layout work also needed.,REJECT
hu,HU,heic jpg átalakítás online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak-quality: mostly software-vendor lead-gen pages (vidmore, apowersoft.hu, anymp4 x2, mindonmap, photoretrica), a Chrome extension, miconv",unavailable,unavailable,heic,jpg,transactional-tool,medium,Beatable SERP but small market; no second intent researched.,DEFER
cs,CZ,převod heic na jpg online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: avaide, convertico/cs, anyconv, heic2jpeg, heic.digital, apowersoft.cz, prevod-souboru.cz (local), mindonmap",unavailable,unavailable,heic,jpg,transactional-tool,medium,Vendor pages + one local site.,DEFER
sk,SK,konvertovať heic na jpg online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,weak: 0 Slovak pages; all Czech-language results,unavailable,unavailable,heic,jpg,transactional-tool,low,Underserved but very small market; Czech pages already fill it.,DEFER
bg,BG,heic в jpg онлайн конвертиране,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak-to-medium: iloveimg/bg, pdf24/bg; rest Russian-language or English pages",unavailable,unavailable,heic,jpg,transactional-tool,medium,Russian pages ranking = localization gap; small market.,DEFER
ro,RO,conversie heic in jpg online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"inconclusive: 0 Romanian pages observed, but a site-restricted test showed the research index also omits known localized brand pages for Romanian",unavailable,unavailable,heic,jpg,transactional-tool,unknown,Tool limitation; needs a Romania-located SERP check.,DEFER
ro,RO,transformare pdf in jpg,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,inconclusive: all English pages observed (same caveat),unavailable,unavailable,pdf,jpg,transactional-tool,unknown,Tool limitation.,DEFER
bn,BD/IN,heic থেকে jpg কনভার্ট,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,n/a: 0 Bengali pages; English pages served,unavailable,unavailable,heic,jpg,transactional-tool,low,Bengali-script demand for converter queries unverified; English pages already serve these searches.,REJECT
hi,IN,heic ko jpg me kaise convert kare,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,n/a: 0 Hindi pages; English pages served for the Hinglish query,unavailable,unavailable,heic,jpg,informational,low,Hinglish in Latin script; English site already matches.,REJECT
